,artist_id,name,followers,popularity,genres,main_genre
1445,6raQ4bhFk0JuTS7i3nZBXr,Alan Arrieta,821552,70,"electro corridos, dembow belico, corrido, corridos tumbados","Latin, Traditional Music"
1446,5LcNPa8f8bRmZqELgoRFkN,Raim Laode,1872078,72,"indonesian pop, indonesian indie","Pop, Rock"
1447,00XhexlJEXQstHimpZN910,Brytiago,7812131,76,"trap latino, reggaeton, urbano latino, trap","Hip Hop, Latin"
1448,24WdRSLiIlFrqK2FqxGLVm,Yoko Gold,31073,59,"canadian contemporary r&b, psychedelic hip hop, rap, cloud rap, experimental hip hop, uk alternative hip hop, instrumental hip hop, canadian hip hop, hip hop, indie hip hop","Hip Hop, R&B, Rock"
1449,4ZfEELHfyKd4odAb6YfDFw,White Noise for Babies,7319,63,sleep,Rock
1450,6mEQK9m2krja6X1cfsAjfl,Ado,6942554,77,"j-pop, anime, vocaloid, j-rock","Electronic, Pop, Rock"
1451,62IAzVoIjzzHeBZ6Glodjp,Diana Bovio,4717,63,"latin arena pop, grupera, latin pop, reggaeton, reggaeton mexicano, ranchera, cantautora mexicana, villancicos, mexican pop, colombian pop","Latin, Pop, Traditional Music"
1452,7An4yvF7hDYDolN4m5zKBp,Soda Stereo,10205221,76,"rock en español, latin rock, argentine rock, latin alternative","Latin, Rock"
1453,4k9wp4ipHdA1bu1T4x1ZTG,IV OF SPADES,3889066,69,"opm, pinoy indie, harana, p-pop, parang, kundiman","Pop, Traditional Music"
1454,5fZe0ixZMgYwu5BLCNvMDC,Siva Ananth,5865,54,"tamil pop, kollywood",Pop
1455,4zmZ8lVLzGc84S4v2B1rLx,Seyi Vibez,4447174,76,"afro adura, afrobeats, afrobeat, afropiano, afropop",Traditional Music
1456,3CL4nOf23RqGQJjcAOzork,noevdv,100898,61,"jersey club, sped up, contemporary r&b, phonk brasileiro, sexy drill, modern indie pop, plugg, corecore, dream plugg, irish hip hop","Electronic, Hip Hop, Pop, R&B, Rock"
1457,0DpLoyGVbhOHNR3ht2oO9y,Calein,722225,60,"opm, harana, pinoy indie, parang, kundiman, p-pop","Pop, Traditional Music"
1458,2P5sC9cVZDToPxyomzF1UH,Joey Bada$$,3845783,71,"hip hop, rap, jazz rap","Hip Hop, Jazz"
1459,38vkPLirHhh2tquGOtNSbQ,Regina Blandón,12538,62,"grupera, latin pop, ranchera, villancicos, colombian pop","Latin, Pop, Traditional Music"
1460,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,73535164,84,"tamil pop, kollywood, sufi, bollywood, hindi pop","Pop, Traditional Music"
1461,49EE6lVLgU8sp7dFgPshgM,La Adictiva,7799068,72,"banda, norteño, grupera",Latin
1462,2pbct1ni3yLLAfzrSXQDrH,Kubilay Karça,615511,58,"turkish hip hop, arabesk, turkish pop","Hip Hop, Pop, Traditional Music"
1463,5UJ2sHO2ELrgW6aXeRLTQQ,Chinmayi,5400182,77,"tamil pop, tollywood, telugu pop, marathi pop, kollywood, bollywood",Pop
1464,6c4sUNBgdonFJz8Kx2VsGz,Madcon,466095,63,norwegian hip hop,Hip Hop
1465,7d86ERlvO5UG44j7Va0Y0C,Pamungkas,7202131,74,"indonesian indie, indonesian pop","Pop, Rock"
1466,1oH2B8tcHn4Gpl2bmmyd4A,La Santa Grifa,9974082,78,"mexican hip hop, latin hip hop, sad sierreño","Hip Hop, Latin"
1467,22UtphG4LcwxlhhV0aP4js,Rauhan Malik,209199,66,indian indie,Rock
1468,5sWHDYs0csV6RS48xBl0tH,Two Feet,2195492,69,"indie poptimism, modern rock",Rock
1469,49zZ2lRNpfwWfUnASUxCYW,Uncle Lucius,212625,62,"red dirt, texas country, outlaw country, country",Country
1470,6MPuzz9hPrs4TwxeHh4cEj,Amir Ameer,300836,67,indian indie,Rock
1471,1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,9141486,86,"emo rap, horrorcore, cloud rap, trap metal, underground hip hop","Hip Hop, Metal, Rock"
1472,2rN8LHqK4TBI7y3d9POvJb,Dhanda Nyoliwala,2062635,75,"haryanvi pop, desi hip hop, punjabi hip hop, hindi hip hop","Hip Hop, Pop"
1473,2O8vbr4RYPpk6MRA4fio7u,SAIKO,1944613,74,"trap latino, urbano espanol, urbano latino",Latin
1474,1T8S48bD91THNKBByWBDyn,Dwayne Johnson,372512,61,wrestling,Rock
1475,3nqS8jzqmsPKFJTp0BOIel,Ikky,1402480,79,"punjabi pop, punjabi hip hop, bhangra, desi","Hip Hop, Pop, Traditional Music"
1476,4ckLjJztj53Ifid7WHweBn,Aleyna Tilki,1213031,64,"turkish pop, t-pop",Pop
1477,1wGIhYkKWSq4yACtTkCkSX,Canserbero,16774542,75,"latin hip hop, rap","Hip Hop, Latin"
1478,7uaIm6Pw7xplS8Dy06V6pT,Trevor Daniel,944406,63,melodic rap,Hip Hop
1479,5PRW6j58xEEWL4DDVEITKT,Dedublüman,2322864,69,"arabesk, turkish pop","Pop, Traditional Music"
1480,5pCGvSxNNUcddlRrG0wsrY,Roisee,27811,61,"rap, west coast hip hop, hip hop",Hip Hop
1481,6ElqtIfQsAkEYypgfJIjeK,DannyLux,2233655,72,"sad sierreño, corridos tumbados, sierreño, corrido, música mexicana, electro corridos","Latin, Traditional Music"
1482,6mOWFF6HJ6krnIpW0CHLQm,dandelion hands,311423,57,spoken word,Easy Listening
1483,0GpuSge5ffZ053NhXxgQkV,Cardenales De Nuevo León,3174010,76,"norteño, banda, cumbia norteña, grupera, ranchera, corrido","Latin, Traditional Music"
1484,4F9apzBcSE0OSfHYbxo4RF,80purppp,287647,63,bedroom r&b,R&B
1485,25OaNybC8G6g5KkAmthQtX,Doble ONE Flow Letal,395612,63,mexican hip hop,Hip Hop
1486,2cWZOOzeOm4WmBJRnD5R7I,Normani,2973353,68,"pop, r&b","Pop, R&B"
1487,05etL4pzWd6TSv1x5WrlG3,Faheem Abdullah,761214,78,hindi pop,Pop
1488,4fEkbug6kZzzJ8eYX6Kbbp,KK,21912312,80,"bollywood, hindi pop, desi",Pop
1489,1GDbiv3spRmZ1XdM1jQbT7,NATTI NATASHA,11138340,73,"reggaeton, latin, urbano latino, bachata",Latin
1490,0gjAAo7BlTd5MmP7qvIQLe,Dj Glad,13005,56,"shatta, dancehall",Reggae
1491,7L05sfIkvxhvoCxALFHGwt,Lo Blondo,8872,9,"latin indie, latin folk, rock en español, mexican indie, electrocumbia, latin alternative, son jarocho, mexican rock","Latin, Rock"
1492,4MhBe0d439ToDXCWlT3wae,OurVinyl,42447,64,"red dirt, outlaw country, country",Country
1493,4GITZM5LCR2KcdlgEOrNLD,The Foundations,147184,58,bubblegum pop,Pop
1494,0awl5piYwO0CDTHEkCjUhn,Nico & Vinz,587427,63,afrobeats,Traditional Music
1495,4StjyzjcmZ7a9QncHVf0pu,Simge,2307957,67,"turkish pop, t-pop",Pop
1496,20s0P9QLxGqKuCsGwFsp7w,Mario,4085340,70,r&b,R&B
1497,3whuHq0yGx60atvA2RCVRW,Olly Murs,3186056,64,"dance pop, pop, talent show, uk pop",Pop
1498,6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar,17069860,82,"bollywood, desi, hindi pop",Pop
1499,6bGOmNBU1AOgttgOjh0ldf,Ati242,3777668,76,turkish hip hop,Hip Hop
1500,1ZdhAl62G6ZlEKqIwUAfZR,Enjambre,2049519,72,"mexican indie, rock en español, mexican rock, latin indie, latin rock",Rock
1501,4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,45174425,85,"tamil pop, kollywood, tamil dance, tamil hip hop, tollywood, telugu pop","Hip Hop, Pop"
1502,4MoAOfV4ROWofLG3a3hhBN,Jon Pardi,2387083,75,"country, acoustic country","Country, Folk"
1503,07V3atNq2TyPNDYmzp6Dyy,Reese LAFLARE,96983,64,"atl trap, underground hip hop",Hip Hop
1504,0nnp7oJpY2J6yZOqtdKaWq,Duelo,2252392,72,"norteño, grupera, tejano, banda, cumbia norteña",Latin
1505,056KMTw6IztdQjBmFfVyO3,Rkomi,1439365,65,"italian trap, concerto",Hip Hop
1506,7mEIug7XUlQHikrFxjTWes,Neil Diamond,3303070,69,"adult standards, brill building pop, folk rock, mellow gold, singer-songwriter, soft rock, yacht rock","Easy Listening, Folk, Pop, Rock"
1507,6RzPQpJ5z2JkOJlmsCVxJq,Ujjwal Kashyap,93499,61,"hindi indie, indian indie","Pop, Rock"
1508,5wJ1H6ud777odtZl5gG507,Vishal Mishra,9976827,78,"bollywood, hindi pop",Pop
1509,422QvLrp4rn4VaTnb810uJ,Débora Rabelo,7906,2,devotional,Traditional Music
1510,19LIHDDSHBD5NyYHI3gpzB,Shilpa Rao,3874494,77,"bollywood, hindi pop, desi",Pop
1511,6WOdPJmexxFINcKMkP2jMG,Sachet Tandon,7731581,75,"bhajan, hindi pop, devotional, bollywood, desi pop","Pop, Traditional Music"
