vendor_number,vendor_name,brand,description,purchase_price,actual_price,volume,total_purchase_qty,total_purchase_dollars,total_sales_qty,total_sales_dollars,total_sales_price,total_excise_tax,fright_cost,gross_profit,profit_margin,stock_turnover,sales_to_purchase_ratio,unsold_inventory_value,unit_price,order_size
1392,CONSTELLATION BRANDS INC,14895,Vendange Pnt Grigio,5.15,9.99,1500.0,6449,33212.4,6070,48436.8,23797.2,1359.23,79529.0,-65663.8,-135.566,0.941231,1.4584,12587499.6,5.150007753140022,medium
1392,CONSTELLATION BRANDS INC,15428,Ruffino Prosecco Sparkling,7.94,11.99,750.0,12807,101688.0,12449,145222.0,49553.9,1392.05,79529.0,-37387.1,-25.7449,0.972047,1.42811,36404304.0,7.940032794565472,large
1392,CONSTELLATION BRANDS INC,16260,The Dreaming Tree Cab Svgn,7.58,11.99,750.0,15976,121098.0,15806,192234.0,84196.2,1763.15,79529.0,-10156.1,-5.28318,0.989359,1.58743,20586660.0,7.579994992488733,large
1392,CONSTELLATION BRANDS INC,16261,The Dreaming Tree CC Chard,8.72,12.99,750.0,4068,35473.0,3844,48797.0,26090.5,427.61,79529.0,-66632.6,-136.551,0.944936,1.37561,7945952.0,8.720009832841692,small
1392,CONSTELLATION BRANDS INC,16262,The Dreaming Tree Crush Red,7.18,11.99,750.0,19580,140584.0,19425,238210.0,90429.4,2170.69,79529.0,15925.5,6.68549,0.992084,1.69442,21790520.0,7.179979570990807,large
1392,CONSTELLATION BRANDS INC,16328,Black Box Chard,2.75,3.99,500.0,12427,34174.2,12396,52523.0,24606.2,938.96,79529.0,-62119.2,-118.27,0.997505,1.53692,1059400.2,2.749995976502776,large
1392,CONSTELLATION BRANDS INC,17814,Ruffino Chianti Clsc Rsv Gld,23.64,34.99,750.0,1931,45648.8,1822,65226.8,39164.1,202.14,79529.0,-60153.2,-92.2216,0.943553,1.42888,4975719.2,23.63997928534438,small
1392,CONSTELLATION BRANDS INC,19748,Clos du Bois Chard,9.2,13.99,1500.0,47153,433808.0,46069,701956.0,166739.0,10347.0,79529.0,178272.0,25.3965,0.977011,1.61813,470247872.0,9.20000848302335,large
1392,CONSTELLATION BRANDS INC,21019,Black Box Pnt Nr,10.66,16.99,3000.0,12647,134817.0,12512,229217.0,139972.0,5630.4,79529.0,9240.47,4.03132,0.989326,1.70021,18200295.0,10.659998418597295,large
1392,CONSTELLATION BRANDS INC,21834,Meiomi Chard,10.52,19.99,750.0,3711,39039.7,3521,55900.8,26057.6,392.44,79529.0,-63060.4,-112.808,0.948801,1.4319,7417542.999999999,10.519994610617083,small
1392,CONSTELLATION BRANDS INC,21951,Ruffino Aziano Chianti Clsc,8.27,12.99,750.0,4076,33708.5,4028,51363.7,32015.0,446.82,79529.0,-62320.6,-121.332,0.988224,1.52376,1618008.0,8.269995093228655,small
1392,CONSTELLATION BRANDS INC,22899,Simi Svgn Bl,6.53,14.99,750.0,11344,74076.3,11060,136234.0,58706.4,1234.9,79529.0,-18606.4,-13.6577,0.974965,1.8391,21037669.2,6.529998236953456,large
1392,CONSTELLATION BRANDS INC,23212,The Dreaming Tree Pnt Nr CA,7.99,14.99,750.0,4616,36881.8,4376,57856.2,34606.9,485.78,79529.0,-59040.4,-102.047,0.948007,1.56869,8851632.0,7.989991334488735,medium
1392,CONSTELLATION BRANDS INC,24455,Franciscan Cab Svgn Napa,11.71,20.99,750.0,12258,143541.0,11732,235732.0,95856.0,1309.99,79529.0,11351.7,4.81553,0.957089,1.64226,75502566.0,11.709985315712188,large
1392,CONSTELLATION BRANDS INC,24612,Estancia Pnt Nr Monterey,5.82,13.99,750.0,7791,45343.6,7443,90391.6,39831.3,830.41,79529.0,-35311.4,-39.065,0.955333,1.99348,15779572.799999999,5.8199974329354385,medium
1392,CONSTELLATION BRANDS INC,24846,Franciscan Merlot Napa,12.25,18.99,750.0,2970,36382.5,2930,56537.7,32376.2,325.21,79529.0,-59699.0,-105.591,0.986532,1.55398,1455300.0,12.25,small
1392,CONSTELLATION BRANDS INC,25021,Mark West Black Pnt Nr,7.28,13.99,750.0,8166,59448.5,8141,90162.6,36502.0,908.96,79529.0,-49723.8,-55.1491,0.996939,1.51665,1486212.5,7.280002449179525,medium
1392,CONSTELLATION BRANDS INC,25269,R Mondavi Cab Svgn Pvt Sel,4.62,7.99,750.0,22961,106080.0,22456,188334.0,60354.6,2512.81,79529.0,212.239,0.112693,0.978006,1.7754,53570400.0,4.620007839379818,large
1392,CONSTELLATION BRANDS INC,25877,Ravage Cab Svgn,9.67,14.99,750.0,3372,32607.2,2639,31992.6,13857.6,294.25,79529.0,-80437.9,-251.426,0.782622,0.981151,23901077.6,9.669988137603797,small
1392,CONSTELLATION BRANDS INC,26463,Ravenswood Vints Blend Znfdl,4.65,7.99,750.0,21641,100631.0,21469,162566.0,57621.6,2400.88,79529.0,-19995.0,-12.2997,0.992052,1.61547,17308532.0,4.6500161730049445,large
1392,CONSTELLATION BRANDS INC,26817,Ravenswood Vntrs Blnd Merlot,5.47,7.99,750.0,9532,52140.0,9333,71148.7,32889.3,1040.9,79529.0,-61561.3,-86.5248,0.979123,1.36457,10375860.0,5.469995803608897,medium
1392,CONSTELLATION BRANDS INC,28579,R M Woodbridge Merlot Cal,3.24,7.99,750.0,13731,44488.4,13525,78535.5,27990.3,1512.34,79529.0,-46994.3,-59.8383,0.984997,1.7653,9164610.4,3.239997086883694,large
1392,CONSTELLATION BRANDS INC,28658,R Mondavi Pnt Nr Pvt Sel,4.53,7.99,750.0,12507,56656.7,11841,96997.7,35370.2,1323.11,79529.0,-40511.1,-41.765,0.94675,1.71203,37733362.199999996,4.529999200447749,large
1392,CONSTELLATION BRANDS INC,28947,R M Woodbridge Merlot Cal,5.91,8.99,1500.0,36313,214610.0,35634,357636.0,119032.0,7996.23,79529.0,55500.6,15.5188,0.981301,1.66645,145720190.0,5.910004681519015,large
1392,CONSTELLATION BRANDS INC,29212,R Mondavi Merlot Pvt Sel,4.59,7.99,750.0,10761,49393.0,10248,85846.6,40722.0,1141.6,79529.0,-44217.0,-51.507,0.952328,1.73803,25338609.0,4.590000929281666,large
1392,CONSTELLATION BRANDS INC,29248,Toasted Head Chard,6.53,9.99,750.0,34803,227264.0,33858,360783.0,101906.0,3792.69,79529.0,50198.1,13.9137,0.972847,1.58751,214764480.0,6.530011780593627,large
1392,CONSTELLATION BRANDS INC,31231,Nobilo Svgn Bl MarlborougH,6.49,11.99,750.0,14753,95747.0,14617,157502.0,58512.4,1633.12,79529.0,-19407.2,-12.3219,0.990782,1.64498,13021592.0,6.490002033484715,large
1392,CONSTELLATION BRANDS INC,35471,R M Woodbridge Pnt Grigio,3.35,7.99,750.0,11941,40002.4,11342,66622.7,24285.4,1268.1,79529.0,-54176.7,-81.3187,0.949837,1.66547,23961437.6,3.3500041872539987,large
1392,CONSTELLATION BRANDS INC,35472,R M Woodbridge Pnt Grigio,5.88,8.99,1500.0,47207,277577.0,46764,469543.0,127217.0,10501.0,79529.0,101936.0,21.7096,0.990616,1.69158,122966611.0,5.879996610672146,large
1392,CONSTELLATION BRANDS INC,37792,Blackstone Pnt Nr Monterey,4.63,7.99,750.0,8813,40804.2,8641,70090.6,29542.7,963.88,79529.0,-51206.5,-73.0576,0.980483,1.71773,7018322.399999999,4.630001134687394,medium
1392,CONSTELLATION BRANDS INC,38441,Toasted Head Cab Svgn,6.7,10.99,750.0,5065,33935.5,4966,55479.3,30578.8,552.0,79529.0,-58537.2,-105.512,0.980454,1.63485,3359614.5,6.7,medium
1392,CONSTELLATION BRANDS INC,38502,Ruffino Lumina Pnt Grigio,4.57,6.99,750.0,17705,80911.9,17602,130387.0,49414.1,1967.13,79529.0,-32021.0,-24.5584,0.994182,1.61147,8333925.699999999,4.570002824061,large
1392,CONSTELLATION BRANDS INC,38546,Mark West Pnt Nr Sonoma,5.06,9.99,750.0,70531,356887.0,70188,675520.0,133091.0,7876.0,79529.0,231228.0,34.2296,0.995137,1.89281,122412241.0,5.060001984942791,large
1392,CONSTELLATION BRANDS INC,38850,Ravenswood Vntrs Bl Cab Svgn,4.65,7.99,750.0,19075,88698.8,19025,143317.0,49594.9,2126.93,79529.0,-27037.3,-18.8654,0.997379,1.61578,4434940.0,4.650002621231979,large
1392,CONSTELLATION BRANDS INC,39708,R Mondavi Pvt Sln Pnt Grigio,4.72,7.99,750.0,8426,39770.7,7572,63448.0,29222.9,843.93,79529.0,-56695.7,-89.3577,0.898647,1.59534,33964177.8,4.719997626394493,medium
